Formulation,Compressive Strength
"The formulation is Powderkg = 360, wc = 0.45, materials = 0.7/0.3, curing = Ambient curing",33.83
"The formulation is Powderkg = 440, wc = 0.6, materials = 0.6/0.4, curing = Heat curing.",51.98
"The formulation is Powderkg = 410, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",51.07
"The formulation is Powderkg = 430, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",43.84
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.6/0.4, curing = Ambient curing.",44.67
"The formulation is Powderkg = 380, wc = 0.5, materials = 0.5/0.5, curing = Ambient curing.",59.98
"The formulation is Powderkg = 450, wc = 0.6, materials = 0.7/0.3, curing = Heat curing.",29.46
"The formulation is Powderkg = 400, wc = 0.45, materials = 0.6/0.4, curing = Ambient curing.",44.85
"The formulation is Powderkg = 390, wc = 0.55, materials = 0.7/0.3, curing = Ambient curing.",28.6
"The formulation is Powderkg = 370, wc = 0.45, materials = 0.5/0.5, curing = Heat curing.",61.22
