Formulation,Compressive Strength
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.6/0.4, curing = Heat curing",55.57
"The formulation is Powderkg = 430, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",42.88
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",52.0
"The formulation is Powderkg = 440, wc = 0.45, materials = 0.6/0.4, curing = Ambient curing.",42.95
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.5/0.5, curing = Heat curing.",61.96
"The formulation is Powderkg = 400, wc = 0.6, materials = 0.7/0.3, curing = Heat curing.",27.16
"The formulation is Powderkg = 410, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",51.54
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.7/0.3, curing = Ambient curing.",33.83
"The formulation is Powderkg = 390, wc = 0.45, materials = 0.5/0.5, curing = Heat curing.",57.54
"The formulation is Powderkg = 440, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",58.2
