Idx_Sample,Powderkg,Liquidkg,WC,Admixturekg,Aggregateskg,Fly_Ash_ratio,GGBFS_ratio,temperature,fc_28dGroundTruth
102.0,410.0,225.5,0.55,16.4,1748.5,0.6,0.4,25.0,45.02
232.0,440.0,198.0,0.45,17.6,1746.0,0.7,0.3,60.0,39.19
82.0,360.0,198.0,0.55,14.4,1826.0,0.6,0.4,25.0,46.87
8.0,380.0,171.0,0.45,15.2,1833.0,0.5,0.5,25.0,55.85
157.0,450.0,225.0,0.5,18.0,1709.0,0.6,0.4,60.0,61.3
0.0,360.0,162.0,0.45,14.4,1862.0,0.5,0.5,25.0,55.37
153.0,440.0,220.0,0.5,17.6,1724.0,0.6,0.4,60.0,61.61
117.0,450.0,225.0,0.5,18.0,1709.0,0.6,0.4,25.0,50.69
1.0,360.0,180.0,0.5,14.4,1844.0,0.5,0.5,25.0,59.79
2.0,360.0,198.0,0.55,14.4,1826.0,0.5,0.5,25.0,51.61
3.0,360.0,216.0,0.6,14.4,1808.0,0.5,0.5,25.0,46.68
4.0,370.0,166.5,0.45,14.8,1847.5,0.5,0.5,25.0,55.62
5.0,370.0,185.0,0.5,14.8,1829.0,0.5,0.5,25.0,59.88
6.0,370.0,203.5,0.55,14.8,1810.5,0.5,0.5,25.0,50.73
