Formulation,Compressive Strength
"The formulation is Powderkg = 410, wc = 0.5, materials = 0.6/0.4, curing = Heat curing",61.51
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.7/0.3, curing = Ambient curing",33.81
"The formulation is Powderkg = 430, wc = 0.55, materials = 0.5/0.5, curing = Heat curing",51.92
"The formulation is Powderkg = 420, wc = 0.6, materials = 0.5/0.5, curing = Ambient curing",47.57
"The formulation is Powderkg = 380, wc = 0.5, materials = 0.7/0.3, curing = Heat curing",42.88
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing",37.52
"The formulation is Powderkg = 360, wc = 0.45, materials = 0.6/0.4, curing = Ambient curing.",43.32
"The formulation is Powderkg = 440, wc = 0.55, materials = 0.7/0.3, curing = Ambient curing.",25.88
"The formulation is Powderkg = 450, wc = 0.6, materials = 0.6/0.4, curing = Heat curing.",49.83
"The formulation is Powderkg = 410, wc = 0.5, materials = 0.6/0.4, curing = Ambient curing.",50.43
