Formulation,Compressive Strength
"The formulation is Powderkg = 410, wc = 0.5, materials = 0.6/0.4, curing = Heat curing",61.51
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.7/0.3, curing = Ambient curing.",33.81
"The formulation is Powderkg = 380, wc = 0.45, materials = 0.5/0.5, curing = Heat curing.",60.47
"The formulation is Powderkg = 390, wc = 0.55, materials = 0.6/0.4, curing = Ambient curing.",45.75
"The formulation is Powderkg = 400, wc = 0.6, materials = 0.7/0.3, curing = Heat curing.",27.44
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing.",38.16
"The formulation is Powderkg = 430, wc = 0.6, materials = 0.5/0.5, curing = Heat curing.",50.93
"The formulation is Powderkg = 450, wc = 0.6, materials = 0.7/0.3, curing = Heat curing.",29.46
"The formulation is Powderkg = 380, wc = 0.6, materials = 0.6/0.4, curing = Ambient curing.",46.27
"The formulation is Powderkg = 370, wc = 0.55, materials = 0.5/0.5, curing = Ambient curing.",50.73
