Formulation,Compressive Strength
"The formulation is Powderkg = 400, wc = 0.45, materials = 0.6/0.4, curing = Heat curing",57.75
"The formulation is Powderkg = 410, wc = 0.55, materials = 0.5/0.5, curing = Ambient curing",47.28
"The formulation is Powderkg = 430, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",43.84
"The formulation is Powderkg = 420, wc = 0.6, materials = 0.6/0.4, curing = Ambient curing.",46.57
"The formulation is Powderkg = 390, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",43.03
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.5/0.5, curing = Heat curing.",54.97
"The formulation is Powderkg = 380, wc = 0.55, materials = 0.7/0.3, curing = Ambient curing.",29.43
"The formulation is Powderkg = 440, wc = 0.45, materials = 0.6/0.4, curing = Ambient curing.",45.96
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",50.64
"The formulation is Powderkg = 410, wc = 0.6, materials = 0.7/0.3, curing = Heat curing.",27.16
