Formulation,Compressive Strength
"The formulation is Powderkg = 430, wc = 0.5, materials = 0.6/0.4, curing = Heat curing",61.95
"The formulation is Powderkg = 440, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",33.95
"The formulation is Powderkg = 390, wc = 0.45, materials = 0.6/0.4, curing = Ambient curing.",44.21
"The formulation is Powderkg = 410, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",43.35
"The formulation is Powderkg = 430, wc = 0.45, materials = 0.5/0.5, curing = Heat curing.",56.66
"The formulation is Powderkg = 450, wc = 0.6, materials = 0.6/0.4, curing = Heat curing.",49.83
"The formulation is Powderkg = 450, wc = 0.5, materials = 0.5/0.5, curing = Heat curing.",61.9
"The formulation is Powderkg = 420, wc = 0.6, materials = 0.6/0.4, curing = Heat curing.",56.64
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.6/0.4, curing = Heat curing.",58.93
"The formulation is Powderkg = 450, wc = 0.6, materials = 0.7/0.3, curing = Heat curing.",29.46
