Formulation,Compressive Strength
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.5/0.5, curing = Heat curing",54.97
"The formulation is Powderkg = 440, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",61.61
"The formulation is Powderkg = 420, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",31.24
"The formulation is Powderkg = 410, wc = 0.45, materials = 0.6/0.4, curing = Ambient curing.",45.48
"The formulation is Powderkg = 430, wc = 0.5, materials = 0.5/0.5, curing = Heat curing.",63.47
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.5/0.5, curing = Heat curing.",54.97
"The formulation is Powderkg = 400, wc = 0.45, materials = 0.7/0.3, curing = Heat curing.",40.78
"The formulation is Powderkg = 450, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",44.49
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.7/0.3, curing = Ambient curing.",33.81
"The formulation is Powderkg = 430, wc = 0.55, materials = 0.6/0.4, curing = Heat curing.",57.37
