Formulation,Compressive Strength
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.7/0.3, curing = Heat curing",38.63
"The formulation is Powderkg = 430, wc = 0.55, materials = 0.5/0.5, curing = Heat curing",51.92
"The formulation is Powderkg = 400, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",51.54
"The formulation is Powderkg = 440, wc = 0.45, materials = 0.5/0.5, curing = Heat curing.",55.78
"The formulation is Powderkg = 410, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",43.35
"The formulation is Powderkg = 430, wc = 0.45, materials = 0.5/0.5, curing = Heat curing.",56.66
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",62.29
"The formulation is Powderkg = 390, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",59.86
"The formulation is Powderkg = 440, wc = 0.5, materials = 0.6/0.4, curing = Heat curing.",61.61
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.5/0.5, curing = Heat curing",54.97
