Formulation,Compressive Strength
"The formulation is Powderkg = 420, wc = 0.5, materials = 0.5/0.5, curing = Heat curing",64.28
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.7/0.3, curing = Heat curing",38.63
"The formulation is Powderkg = 410, wc = 0.55, materials = 0.6/0.4, curing = Heat curing",58.06
"The formulation is Powderkg = 430, wc = 0.5, materials = 0.5/0.5, curing = Heat curing.",63.47
"The formulation is Powderkg = 430, wc = 0.6, materials = 0.5/0.5, curing = Heat curing.",50.93
"The formulation is Powderkg = 410, wc = 0.55, materials = 0.6/0.4, curing = Heat curing.",58.06
"The formulation is Powderkg = 440, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",44.18
"The formulation is Powderkg = 390, wc = 0.55, materials = 0.7/0.3, curing = Heat curing.",32.58
"The formulation is Powderkg = 390, wc = 0.5, materials = 0.5/0.5, curing = Heat curing.",64.76
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.5/0.5, curing = Ambient curing.",60.18
