Formulation,Compressive Strength
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.5/0.5, curing = Heat curing",54.97
"The formulation is Powderkg = 440, wc = 0.55, materials = 0.6/0.4, curing = Heat curing.",55.82
"The formulation is Powderkg = 420, wc = 0.6, materials = 0.7/0.3, curing = Heat curing.",26.89
"The formulation is Powderkg = 410, wc = 0.5, materials = 0.6/0.4, curing = Ambient curing.",50.43
"The formulation is Powderkg = 420, wc = 0.45, materials = 0.5/0.5, curing = Heat curing.",57.54
"The formulation is Powderkg = 430, wc = 0.6, materials = 0.7/0.3, curing = Ambient curing.",23.62
"The formulation is Powderkg = 450, wc = 0.55, materials = 0.5/0.5, curing = Heat curing.",54.38
"The formulation is Powderkg = 390, wc = 0.6, materials = 0.6/0.4, curing = Heat curing.",53.96
"The formulation is Powderkg = 400, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",43.19
"The formulation is Powderkg = 380, wc = 0.45, materials = 0.5/0.5, curing = Heat curing.",60.47
