Formulation,Compressive Strength
"The formulation is Powderkg = 360, wc = 0.45, materials = 0.7/0.3, curing = Ambient curing",33.83
"The formulation is Powderkg = 370, wc = 0.6, materials = 0.5/0.5, curing = Heat curing",51.9
"The formulation is Powderkg = 450, wc = 0.55, materials = 0.6/0.4, curing = Heat curing.",54.38
"The formulation is Powderkg = 440, wc = 0.5, materials = 0.7/0.3, curing = Heat curing.",44.18
"The formulation is Powderkg = 410, wc = 0.6, materials = 0.6/0.4, curing = Ambient curing.",46.5
"The formulation is Powderkg = 430, wc = 0.45, materials = 0.5/0.5, curing = Heat curing.",56.66
"The formulation is Powderkg = 400, wc = 0.55, materials = 0.6/0.4, curing = Ambient curing.",45.38
"The formulation is Powderkg = 390, wc = 0.5, materials = 0.7/0.3, curing = Ambient curing.",37.18
"The formulation is Powderkg = 420, wc = 0.6, materials = 0.7/0.3, curing = Heat curing.",26.89
"The formulation is Powderkg = 450, wc = 0.45, materials = 0.5/0.5, curing = Ambient curing.",48.91
